scenario_id,aggregator_type,alignment,est_threshold,lst_threshold,max_group_size,baseline_cost,aggregated_cost,savings,scenario_time,NrOfFlexOffers
1,0,0,2,2,5,11.6706,9.33651,2.33413,0.00273013,10
2,0,0,2,2,5,52.3165,41.8532,10.4633,0.224612,50
3,0,0,2,2,5,107.741,86.1927,21.5482,1.72139,100
4,0,0,2,2,5,218.517,174.814,43.7035,14.5004,200
5,0,0,2,2,10,11.6706,9.33651,2.33413,0.00244084,10
6,0,0,2,2,10,52.3165,41.8532,10.4633,0.226457,50
7,0,0,2,2,10,107.741,86.1927,21.5482,1.85722,100
8,0,0,2,2,10,218.517,174.814,43.7035,15.4715,200
9,0,0,2,2,50,11.6706,9.33651,2.33413,0.00261975,10
10,0,0,2,2,50,52.3165,41.8532,10.4633,0.243599,50
11,0,0,2,2,50,107.741,86.1927,21.5482,1.92621,100
12,0,0,2,2,50,218.517,174.814,43.7035,15.3572,200
13,0,0,4,4,5,11.6706,9.33651,2.33413,0.00221409,10
14,0,0,4,4,5,52.3165,41.8532,10.4633,0.218288,50
15,0,0,4,4,5,107.741,86.1927,21.5482,1.70731,100
16,0,0,4,4,5,218.517,174.814,43.7035,14.6766,200
17,0,0,4,4,10,11.6706,9.33651,2.33413,0.00224336,10
18,0,0,4,4,10,52.3165,41.8532,10.4633,0.229173,50
19,0,0,4,4,10,107.741,86.1927,21.5482,1.86,100
20,0,0,4,4,10,218.517,174.814,43.7035,14.8313,200
21,0,0,4,4,50,11.6706,9.33651,2.33413,0.00221747,10
22,0,0,4,4,50,52.3165,41.9009,10.4156,0.236274,50
23,0,0,4,4,50,107.741,86.1927,21.5482,1.88967,100
24,0,0,4,4,50,218.517,174.814,43.7035,15.1373,200
25,0,0,6,6,5,11.6706,9.33651,2.33413,0.00208987,10
26,0,0,6,6,5,52.3165,41.8532,10.4633,0.216184,50
27,0,0,6,6,5,107.741,86.1927,21.5482,1.71278,100
28,0,0,6,6,5,218.517,174.814,43.7035,14.6103,200
29,0,0,6,6,10,11.6706,9.33651,2.33413,0.00260624,10
30,0,0,6,6,10,52.3165,41.8532,10.4633,0.23169,50
31,0,0,6,6,10,107.741,86.1927,21.5482,1.84482,100
32,0,0,6,6,10,218.517,174.814,43.7035,15.4825,200
33,0,0,6,6,50,11.6706,9.33651,2.33413,0.00302129,10
34,0,0,6,6,50,52.3165,41.9009,10.4156,0.239304,50
35,0,0,6,6,50,107.741,86.1927,21.5482,2.02495,100
36,0,0,6,6,50,218.517,174.814,43.7035,15.4368,200
37,0,1,2,2,5,11.6706,9.22605,2.44459,0.00227837,10
38,0,1,2,2,5,52.3165,41.1856,11.1309,0.218603,50
39,0,1,2,2,5,107.741,85.7829,21.958,1.76693,100
40,0,1,2,2,5,218.517,174.329,44.1884,14.9127,200
41,0,1,2,2,10,11.6706,9.22605,2.44459,0.00231061,10
42,0,1,2,2,10,52.3165,40.9992,11.3173,0.235925,50
43,0,1,2,2,10,107.741,85.3938,22.3471,1.86484,100
44,0,1,2,2,10,218.517,174.1,44.4174,15.0386,200
45,0,1,2,2,50,11.6706,9.22605,2.44459,0.00238659,10
46,0,1,2,2,50,52.3165,40.6797,11.6367,0.230663,50
47,0,1,2,2,50,107.741,85.0999,22.641,1.91733,100
48,0,1,2,2,50,218.517,173.248,45.2689,15.3073,200
49,0,1,4,4,5,11.6706,9.22605,2.44459,0.0021648,10
50,0,1,4,4,5,52.3165,41.1856,11.1309,0.217799,50
51,0,1,4,4,5,107.741,85.7829,21.958,1.70758,100
52,0,1,4,4,5,218.517,174.329,44.1884,14.5244,200
53,0,1,4,4,10,11.6706,9.33651,2.33413,0.00226149,10
54,0,1,4,4,10,52.3165,40.9992,11.3173,0.225731,50
55,0,1,4,4,10,107.741,85.3938,22.3471,1.82024,100
56,0,1,4,4,10,218.517,174.1,44.4174,15.1009,200
57,0,1,4,4,50,11.6706,9.33651,2.33413,0.00288085,10
58,0,1,4,4,50,52.3165,40.7616,11.5548,0.249764,50
59,0,1,4,4,50,107.741,84.4164,23.3245,1.95469,100
60,0,1,4,4,50,218.517,173.248,45.2689,15.4406,200
61,0,1,6,6,5,11.6706,9.22605,2.44459,0.00232358,10
62,0,1,6,6,5,52.3165,41.1856,11.1309,0.214763,50
63,0,1,6,6,5,107.741,85.7829,21.958,1.74291,100
64,0,1,6,6,5,218.517,174.329,44.1884,14.2352,200
65,0,1,6,6,10,11.6706,9.33651,2.33413,0.00233197,10
66,0,1,6,6,10,52.3165,40.9992,11.3173,0.22393,50
67,0,1,6,6,10,107.741,85.3938,22.3471,1.85652,100
68,0,1,6,6,10,218.517,174.1,44.4174,14.7548,200
69,0,1,6,6,50,11.6706,9.33651,2.33413,0.00223447,10
70,0,1,6,6,50,52.3165,41.2932,11.0233,0.23512,50
71,0,1,6,6,50,107.741,84.4164,23.3245,1.87792,100
72,0,1,6,6,50,218.517,173.248,45.2689,15.0673,200
73,0,2,2,2,5,11.6706,5.64648,6.02416,0.00234322,10
