_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,,,,,,,,,
5cf70d0ff9af8b0b7c6fd88f,39,"Mon, 20 May 2019 02:22:56 GMT","Mon, 20 May 2019 04:20:26 GMT","Mon, 20 May 2019 03:45:41 GMT",8.176,2_39_126_20_2019-05-20 02:22:56.016206,2,CA-310,2-39-126-20,America/Los_Angeles,1099,"[{""WhPerMile"":438","kWhRequested"":35.04,""milesRequested"":80,""minutesAvailable"":123,""modifiedAt"":""Mon, 20 May 2019 02:26:45 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 04:25:56 GMT","""userID"":1099}]",,,,,,
5cf85ea5f9af8b11f3749c52,39,"Mon, 20 May 2019 13:31:34 GMT","Mon, 20 May 2019 18:35:23 GMT","Mon, 20 May 2019 17:04:05 GMT",18.984,2_39_88_24_2019-05-20 13:31:33.862922,2,CA-314,2-39-88-24,America/Los_Angeles,560,"[{""WhPerMile"":273","kWhRequested"":19.11,""milesRequested"":70,""minutesAvailable"":284,""modifiedAt"":""Mon, 20 May 2019 13:31:41 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 18:15:34 GMT","""userID"":560}]",,,,,,
5cf85ea5f9af8b11f3749c53,39,"Mon, 20 May 2019 14:28:32 GMT","Mon, 20 May 2019 19:31:11 GMT","Mon, 20 May 2019 17:01:53 GMT",16.37,2_39_139_28_2019-05-20 14:28:31.912396,2,CA-303,2-39-139-28,America/Los_Angeles,710,"[{""WhPerMile"":261","kWhRequested"":36.54,""milesRequested"":140,""minutesAvailable"":307,""modifiedAt"":""Mon, 20 May 2019 14:28:56 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 19:35:32 GMT","""userID"":710}]",,,,,,
5cf85ea5f9af8b11f3749c5b,39,"Mon, 20 May 2019 15:28:34 GMT","Mon, 20 May 2019 17:33:06 GMT","Mon, 20 May 2019 16:49:40 GMT",7.885,2_39_125_21_2019-05-20 15:28:33.948259,2,CA-311,2-39-125-21,America/Los_Angeles,2354,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Mon, 20 May 2019 15:29:34 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 16:28:34 GMT","""userID"":2354}]",,,,,,
5cf85ea5f9af8b11f3749c5f,39,"Mon, 20 May 2019 15:38:14 GMT","Mon, 20 May 2019 20:23:25 GMT","Mon, 20 May 2019 20:11:39 GMT",19.465,2_39_79_377_2019-05-20 15:38:14.433423,2,CA-325,2-39-79-377,America/Los_Angeles,1470,"[{""WhPerMile"":292","kWhRequested"":17.52,""milesRequested"":60,""minutesAvailable"":232,""modifiedAt"":""Mon, 20 May 2019 15:38:24 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 19:30:14 GMT","""userID"":1470}]",,,,,,
5cf85ea5f9af8b11f3749c64,39,"Mon, 20 May 2019 16:06:40 GMT","Mon, 20 May 2019 17:24:03 GMT","Mon, 20 May 2019 17:23:58 GMT",4.519,2_39_124_22_2019-05-20 16:06:40.362413,2,CA-312,2-39-124-22,America/Los_Angeles,1384,"[{""WhPerMile"":400","kWhRequested"":28.0,""milesRequested"":70,""minutesAvailable"":135,""modifiedAt"":""Mon, 20 May 2019 16:06:57 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 18:21:40 GMT","""userID"":1384}]",,,,,,
5cf85ea5f9af8b11f3749c6a,39,"Mon, 20 May 2019 16:54:51 GMT","Mon, 20 May 2019 18:23:55 GMT","Mon, 20 May 2019 18:23:50 GMT",5.014,2_39_92_436_2019-05-20 16:54:51.140596,2,CA-318,2-39-92-436,America/Los_Angeles,1222,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":72,""modifiedAt"":""Mon, 20 May 2019 16:55:47 GMT","paymentRequired"":true,""requestedDeparture"":""Mon, 20 May 2019 18:06:51 GMT","""userID"":1222}]",,,,,,
5cf85ea5f9af8b11f3749c76,39,"Mon, 20 May 2019 01:10:04 GMT","Mon, 20 May 2019 02:55:34 GMT","Mon, 20 May 2019 02:25:55 GMT",7.886,2_39_139_28_2019-05-21 01:10:04.466161,2,CA-303,2-39-139-28,America/Los_Angeles,1133,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Tue, 21 May 2019 01:10:14 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 02:10:04 GMT","""userID"":1133}]",,,,,,
5cf85ea5f9af8b11f3749c78,39,"Mon, 20 May 2019 05:25:23 GMT","Mon, 20 May 2019 14:01:09 GMT","Mon, 20 May 2019 08:22:46 GMT",13.544,2_39_79_378_2019-05-21 05:25:22.628517,2,CA-326,2-39-79-378,America/Los_Angeles,300,"[{""WhPerMile"":400","kWhRequested"":28.0,""milesRequested"":70,""minutesAvailable"":451,""modifiedAt"":""Tue, 21 May 2019 05:26:13 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 12:56:23 GMT","""userID"":300}]",,,,,,
5cf9b026f9af8b1738bc2a3a,39,"Mon, 20 May 2019 13:04:09 GMT","Mon, 20 May 2019 14:19:42 GMT","Mon, 20 May 2019 14:19:37 GMT",3.994,2_39_89_25_2019-05-21 13:04:09.432614,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":61,""modifiedAt"":""Tue, 21 May 2019 13:04:48 GMT","paymentRequired"":true,""requestedDeparture"":""Tue, 21 May 2019 14:05:09 GMT","""userID"":743}]",,,,,,
